trainid,trainno,stationcode,blocksection,distance,arrivaltime,departuretime,,
427085,42045,BBQ,BBQ-KOK,2172.28,84360,86640,,
427085,42045,KOK,KOK-TNP,2170.28,84600,86640,,
427085,42045,TNP,TNP-VOC,2169.13,84720,84780,,
427085,42045,VOC,VOC-TVT,2167.26,84960,84960,,
427085,42045,TVT,TVT-WCN,2165.39,85140,85200,,
427085,42045,WCN,WCN-KAVM,2162.89,85380,85440,,
427085,42045,KAVM,KAVM-ENR,2159.87,85680,85740,,
427085,42045,ENR,ENR-AIPP,2158.32,86040,86100,,
427085,42045,AIPP,AIPP-AIP,2154.1,86460,86520,,
427085,42045,AIP,AIP-NPKM,2152.32,86580,86940,,
427085,42045,NPKM,NPKM-MJR,2151.04,86700,86760,,
427085,42045,MJR,MJR-APB,2148.42,86880,86940,,
427085,42045,APB,APB-PON,2144.41,87120,87180,,
427085,42045,PON,PON-KVP,2139.72,87420,87480,,
427085,42045,KVP,KVP-GPD,2133.04,87780,87840,,
427085,42045,GPD,,2127.13,89700,89700,,
431819,42004,GPD,GPD-KVP,2127.13,14400,14400,,
431819,42004,KVP,KVP-PON,2133.04,14760,14820,,
431819,42004,PON,PON-APB,2139.72,15360,15420,,
431819,42004,APB,APB-MJR,2144.41,15900,15960,,
431819,42004,MJR,MJR-NPKM,2148.42,16200,16260,,
431819,42004,NPKM,NPKM-AIP,2151.04,16320,16380,,
431819,42004,AIP,AIP-AIPP,2152.32,16440,16500,,
431819,42004,AIPP,AIPP-ENR,2154.1,16620,16680,,
431819,42004,ENR,ENR-KAVM,2158.32,16860,16920,,
431819,42004,KAVM,KAVM-WCN,2159.87,16980,17040,,
431819,42004,WCN,WCN-TVT,2162.89,17160,17220,,
431819,42004,TVT,TVT-VOC,2165.39,17520,17580,,
431819,42004,VOC,VOC-TNP,2167.26,17700,17700,,
431819,42004,TNP,TNP-KOK,2169.13,17880,17940,,
431819,42004,KOK,KOK-BBQ,2170.28,18000,18060,,
431819,42004,BBQ,,2172.28,18300,18360,,
425151,42901,BBQ,BBQ-KOK,2172.28,20760,20820,05:46:00,05:47:00
425151,42901,KOK,KOK-TNP,2170.28,21000,21060,05:50:00,05:51:00
425151,42901,TNP,TNP-VOC,2169.13,21120,21960,05:52:00,05:53:00
425151,42901,VOC,VOC-TVT,2167.26,21360,21360,05:56:00,05:56:00
425151,42901,TVT,TVT-WCN,2165.39,21540,21600,05:59:00,06:00:00
425151,42901,WCN,WCN-KAVM,2162.89,21900,21960,06:05:00,06:06:00
425151,42901,KAVM,KAVM-ENR,2159.87,22080,22140,06:08:00,06:09:00
425151,42901,ENR,,2158.32,23100,23100,06:25:00,06:25:00
425253,42302,PON,PON-APB,2139.72,28800,28800,,
425253,42302,APB,APB-MJR,2144.41,29220,29280,,
425253,42302,MJR,MJR-NPKM,2148.42,29460,29520,,
425253,42302,NPKM,NPKM-AIP,2151.04,29640,29700,,
425253,42302,AIP,AIP-AIPP,2152.32,29760,29820,,
425253,42302,AIPP,AIPP-ENR,2154.1,29940,30000,,
425253,42302,ENR,ENR-KAVM,2158.32,30180,30240,,
425253,42302,KAVM,KAVM-WCN,2159.87,30300,30360,,
425253,42302,WCN,WCN-TVT,2162.89,30480,30540,,
425253,42302,TVT,TVT-VOC,2165.39,30720,30780,,
425253,42302,VOC,VOC-TNP,2167.26,30900,30900,,
425253,42302,TNP,TNP-KOK,2169.13,31020,31080,,
425253,42302,KOK,KOK-BBQ,2170.28,31140,31200,,
425253,42302,BBQ,,2172.28,31440,31500,,
