trainid,trainno,stationcode,blocksection,distance,arrivaltime,departuretime,05:59:00,06:00:00
421091,43107,BBQ,,2172.28,26940,27000,07:29:00,07:30:00
421133,43119,BBQ,,2172.28,65940,66000,18:19:00,18:20:00
421135,43121,BBQ,,2172.28,69540,69600,19:19:00,19:20:00
421159,43405,BBQ,,2172.28,24540,24600,06:49:00,06:50:00
421172,43102,BBQ,,2172.28,14820,14880,04:07:00,04:08:00
421182,43110,BBQ,,2172.28,40620,40680,11:17:00,11:18:00
421185,43114,BBQ,,2172.28,49020,49080,13:37:00,13:38:00
421189,43003,BBQ,,2172.28,28440,28500,07:54:00,07:55:00
421193,43120,BBQ,,2172.28,57420,57480,15:57:00,15:58:00
421194,43122,BBQ,,2172.28,61620,61680,17:07:00,17:08:00
421203,43213,BBQ,,2172.28,31440,31500,08:44:00,08:45:00
421208,43007,BBQ,,2172.28,32640,32700,09:04:00,09:05:00
421303,43901,BBQ,,2172.28,38040,38100,10:34:00,10:35:00
421408,43202,BBQ,,2172.28,17340,17400,04:49:00,04:50:00
421460,43511,BBQ,,2172.28,56040,56100,15:34:00,15:35:00
421461,43233,BBQ,,2172.28,56940,57000,15:49:00,15:50:00
421464,43006,BBQ,,2172.28,20460,20520,05:41:00,05:42:00
421475,43235,BBQ,,2172.28,59640,59700,16:34:00,16:35:00
421485,43239,BBQ,,2172.28,62940,63000,17:29:00,17:30:00
421487,43513,BBQ,,2172.28,63840,63900,17:44:00,17:45:00
421557,43902,BBQ,,2172.28,26280,26340,07:18:00,07:19:00
421684,43882,BBQ,,2172.28,32640,32700,09:04:00,09:05:00
421723,43016,BBQ,,2172.28,37560,37620,10:26:00,10:27:00
421731,43244,BBQ,,2172.28,64740,64800,17:59:00,18:00:00
421732,43018,BBQ,,2172.28,41760,41820,11:36:00,11:37:00
421743,43238,BBQ,,2172.28,59940,60000,16:39:00,16:40:00
421745,43236,BBQ,,2172.28,58140,58200,16:09:00,16:10:00
421754,43232,BBQ,,2172.28,50640,50700,14:04:00,14:05:00
421996,43017,BBQ,,2172.28,45540,45600,12:39:00,12:40:00
425151,42901,BBQ,BBQ-KOK,2172.28,20760,20820,05:46:00,05:47:00
425151,42901,KOK,KOK-TNP,2170.28,21000,21060,05:50:00,05:51:00
425151,42901,TNP,TNP-VOC,2169.13,21120,21180,05:52:00,05:53:00
425151,42901,VOC,VOC-TVT,2167.26,21360,21360,05:56:00,05:56:00
425151,42901,TVT,TVT-WCN,2165.39,21540,21600,05:59:00,06:00:00
425151,42901,WCN,WCN-KAVM,2162.89,21900,21960,06:05:00,06:06:00
425151,42901,KAVM,KAVM-ENR,2159.87,22080,22140,06:08:00,06:09:00
425151,42901,ENR,,2158.32,23100,23100,06:25:00,06:25:00
425231,42031,BBQ,BBQ-KOK,2172.28,63660,63720,17:41:00,17:42:00
425231,42031,KOK,KOK-TNP,2170.28,63900,63960,17:45:00,17:46:00
425231,42031,TNP,TNP-VOC,2169.13,64020,64080,17:47:00,17:48:00
425231,42031,VOC,VOC-TVT,2167.26,64260,64260,17:51:00,17:51:00
425231,42031,TVT,TVT-WCN,2165.39,64440,64500,17:54:00,17:55:00
425231,42031,WCN,WCN-KAVM,2162.89,64800,64860,18:00:00,18:01:00
425231,42031,KAVM,KAVM-ENR,2159.87,64980,65040,18:03:00,18:04:00
425231,42031,ENR,ENR-AIPP,2158.32,65340,65400,18:09:00,18:10:00
425231,42031,AIPP,AIPP-AIP,2154.1,65760,65820,18:16:00,18:17:00
425231,42031,AIP,AIP-NPKM,2152.32,65880,65940,18:18:00,18:19:00
425231,42031,NPKM,NPKM-MJR,2151.04,66000,66060,18:20:00,18:21:00
425231,42031,MJR,MJR-APB,2148.42,66180,66240,18:23:00,18:24:00
425231,42031,APB,APB-PON,2144.41,66420,66480,18:27:00,18:28:00
425231,42031,PON,PON-KVP,2139.72,66720,66780,18:32:00,18:33:00
425231,42031,KVP,KVP-GPD,2133.04,67080,67140,18:38:00,18:39:00
425231,42031,GPD,,2127.13,69300,69300,19:15:00,19:15:00
425253,42302,PON,PON-APB,2139.72,28800,28800,08:00:00,08:00:00
425253,42302,APB,APB-MJR,2144.41,29220,29280,08:07:00,08:08:00
425253,42302,MJR,MJR-NPKM,2148.42,29460,29520,08:11:00,08:12:00
425253,42302,NPKM,NPKM-AIP,2151.04,29640,29700,08:14:00,08:15:00
425253,42302,AIP,AIP-AIPP,2152.32,29760,29820,08:16:00,08:17:00
425253,42302,AIPP,AIPP-ENR,2154.1,29940,30000,08:19:00,08:20:00
425253,42302,ENR,ENR-KAVM,2158.32,30180,30240,08:23:00,08:24:00
425253,42302,KAVM,KAVM-WCN,2159.87,30300,30360,08:25:00,08:26:00
425253,42302,WCN,WCN-TVT,2162.89,30480,30540,08:28:00,08:29:00
425253,42302,TVT,TVT-VOC,2165.39,30720,30780,08:32:00,08:33:00
425253,42302,VOC,VOC-TNP,2167.26,30900,30900,08:35:00,08:35:00
425253,42302,TNP,TNP-KOK,2169.13,31020,31080,08:37:00,08:38:00
425253,42302,KOK,KOK-BBQ,2170.28,31140,31200,08:39:00,08:40:00
425253,42302,BBQ,,2172.28,31440,31500,08:44:00,08:45:00
425260,42020,GPD,GPD-KVP,2127.13,39000,39000,10:50:00,10:50:00
425260,42020,KVP,KVP-PON,2133.04,39360,39420,10:56:00,10:57:00
425260,42020,PON,PON-APB,2139.72,39900,39960,11:05:00,11:06:00
425260,42020,APB,APB-MJR,2144.41,40380,40440,11:13:00,11:14:00
425260,42020,MJR,MJR-NPKM,2148.42,40620,40680,11:17:00,11:18:00
425260,42020,NPKM,NPKM-AIP,2151.04,40800,40860,11:20:00,11:21:00
425260,42020,AIP,AIP-AIPP,2152.32,40980,41040,11:23:00,11:24:00
425260,42020,AIPP,AIPP-ENR,2154.1,41160,41220,11:26:00,11:27:00
425260,42020,ENR,ENR-KAVM,2158.32,41400,41460,11:30:00,11:31:00
425260,42020,KAVM,KAVM-WCN,2159.87,41520,41580,11:32:00,11:33:00
425260,42020,WCN,WCN-TVT,2162.89,41700,41760,11:35:00,11:36:00
425260,42020,TVT,TVT-VOC,2165.39,41940,42000,11:39:00,11:40:00
425260,42020,VOC,VOC-TNP,2167.26,42120,42120,11:42:00,11:42:00
425260,42020,TNP,TNP-KOK,2169.13,42240,42300,11:44:00,11:45:00
425260,42020,KOK,KOK-BBQ,2170.28,42360,42420,11:46:00,11:47:00
425260,42020,BBQ,,2172.28,42660,42720,11:51:00,11:52:00
425279,42034,GPD,GPD-KVP,2127.13,61200,61200,17:00:00,17:00:00
425279,42034,KVP,KVP-PON,2133.04,61560,61620,17:06:00,17:07:00
425279,42034,PON,PON-APB,2139.72,62100,62160,17:15:00,17:16:00
425279,42034,APB,APB-MJR,2144.41,62580,62640,17:23:00,17:24:00
425279,42034,MJR,MJR-NPKM,2148.42,62820,62880,17:27:00,17:28:00
425279,42034,NPKM,NPKM-AIP,2151.04,63000,63060,17:30:00,17:31:00
425279,42034,AIP,AIP-AIPP,2152.32,63120,63180,17:32:00,17:33:00
425279,42034,AIPP,AIPP-ENR,2154.1,63300,63360,17:35:00,17:36:00
425279,42034,ENR,ENR-KAVM,2158.32,63540,63600,17:39:00,17:40:00
425279,42034,KAVM,KAVM-WCN,2159.87,63660,63720,17:41:00,17:42:00
425279,42034,WCN,WCN-TVT,2162.89,63840,63900,17:44:00,17:45:00
425279,42034,TVT,TVT-VOC,2165.39,64080,64140,17:48:00,17:49:00
425279,42034,VOC,VOC-TNP,2167.26,64260,64260,17:51:00,17:51:00
425279,42034,TNP,TNP-KOK,2169.13,64380,64440,17:53:00,17:54:00
425279,42034,KOK,KOK-BBQ,2170.28,64500,64560,17:55:00,17:56:00
425279,42034,BBQ,,2172.28,64800,64860,18:00:00,18:01:00
425288,42044,GPD,GPD-KVP,2127.13,72600,72600,20:10:00,20:10:00
425288,42044,KVP,KVP-PON,2133.04,72960,73020,20:16:00,20:17:00
425288,42044,PON,PON-APB,2139.72,73500,73560,20:25:00,20:26:00
425288,42044,APB,APB-MJR,2144.41,73980,74040,20:33:00,20:34:00
425288,42044,MJR,MJR-NPKM,2148.42,74220,74280,20:37:00,20:38:00
425288,42044,NPKM,NPKM-AIP,2151.04,74400,74460,20:40:00,20:41:00
425288,42044,AIP,AIP-AIPP,2152.32,74520,74580,20:42:00,20:43:00
425288,42044,AIPP,AIPP-ENR,2154.1,74700,74760,20:45:00,20:46:00
425288,42044,ENR,ENR-KAVM,2158.32,74940,75000,20:49:00,20:50:00
425288,42044,KAVM,KAVM-WCN,2159.87,75060,75120,20:51:00,20:52:00
425288,42044,WCN,WCN-TVT,2162.89,75240,75300,20:54:00,20:55:00
425288,42044,TVT,TVT-VOC,2165.39,75480,75540,20:58:00,20:59:00
425288,42044,VOC,VOC-TNP,2167.26,75660,75660,21:01:00,21:01:00
425288,42044,TNP,TNP-KOK,2169.13,75780,75840,21:03:00,21:04:00
425288,42044,KOK,KOK-BBQ,2170.28,75900,75960,21:05:00,21:06:00
425288,42044,BBQ,,2172.28,76200,76260,21:10:00,21:11:00
425297,42041,BBQ,BBQ-KOK,2172.28,78720,78780,21:52:00,21:53:00
425297,42041,KOK,KOK-TNP,2170.28,78900,78960,21:55:00,21:56:00
425297,42041,TNP,TNP-VOC,2169.13,79020,79080,21:57:00,21:58:00
425297,42041,VOC,VOC-TVT,2167.26,79260,79260,22:01:00,22:01:00
425297,42041,TVT,TVT-WCN,2165.39,79440,79500,22:04:00,22:05:00
425297,42041,WCN,WCN-KAVM,2162.89,79680,79740,22:08:00,22:09:00
425297,42041,KAVM,KAVM-ENR,2159.87,79920,79980,22:12:00,22:13:00
425297,42041,ENR,ENR-AIPP,2158.32,80280,80700,22:18:00,22:25:00
425297,42041,AIPP,AIPP-AIP,2154.1,80940,81000,22:29:00,22:30:00
425297,42041,AIP,AIP-NPKM,2152.32,81180,81240,22:33:00,22:34:00
425297,42041,NPKM,NPKM-MJR,2151.04,81360,81420,22:36:00,22:37:00
425297,42041,MJR,MJR-APB,2148.42,81540,81600,22:39:00,22:40:00
425297,42041,APB,APB-PON,2144.41,81840,81900,22:44:00,22:45:00
425297,42041,PON,PON-KVP,2139.72,82200,82260,22:50:00,22:51:00
425297,42041,KVP,KVP-GPD,2133.04,82620,82680,22:57:00,22:58:00
425297,42041,GPD,,2127.13,83700,83700,23:15:00,23:15:00
425657,42005,BBQ,BBQ-KOK,2172.28,24360,24420,06:46:00,06:47:00
425657,42005,KOK,KOK-TNP,2170.28,24600,24660,06:50:00,06:51:00
425657,42005,TNP,TNP-VOC,2169.13,24720,24780,06:52:00,06:53:00
425657,42005,VOC,VOC-TVT,2167.26,24960,24960,06:56:00,06:56:00
425657,42005,TVT,TVT-WCN,2165.39,25140,25200,06:59:00,07:00:00
425657,42005,WCN,WCN-KAVM,2162.89,25500,25560,07:05:00,07:06:00
425657,42005,KAVM,KAVM-ENR,2159.87,25680,25740,07:08:00,07:09:00
425657,42005,ENR,ENR-AIPP,2158.32,26040,26100,07:14:00,07:15:00
425657,42005,AIPP,AIPP-AIP,2154.1,26460,26520,07:21:00,07:22:00
425657,42005,AIP,AIP-NPKM,2152.32,26580,26640,07:23:00,07:24:00
425657,42005,NPKM,NPKM-MJR,2151.04,26700,26760,07:25:00,07:26:00
425657,42005,MJR,MJR-APB,2148.42,26880,26940,07:28:00,07:29:00
425657,42005,APB,APB-PON,2144.41,27120,27180,07:32:00,07:33:00
425657,42005,PON,PON-KVP,2139.72,27420,27480,07:37:00,07:38:00
425657,42005,KVP,KVP-GPD,2133.04,27780,27840,07:43:00,07:44:00
425657,42005,GPD,,2127.13,29400,29400,08:10:00,08:10:00
426115,42028,GPD,GPD-KVP,2127.13,52800,52800,14:40:00,14:40:00
426115,42028,KVP,KVP-PON,2133.04,53460,53520,14:51:00,14:52:00
426115,42028,PON,PON-APB,2139.72,54180,54480,15:03:00,15:08:00
426115,42028,APB,APB-MJR,2144.41,54840,54900,15:14:00,15:15:00
426115,42028,MJR,MJR-NPKM,2148.42,55140,55200,15:19:00,15:20:00
426115,42028,NPKM,NPKM-AIP,2151.04,55320,55380,15:22:00,15:23:00
426115,42028,AIP,AIP-AIPP,2152.32,55500,55560,15:25:00,15:26:00
426115,42028,AIPP,AIPP-ENR,2154.1,55740,55800,15:29:00,15:30:00
426115,42028,ENR,ENR-KAVM,2158.32,55980,56040,15:33:00,15:34:00
426115,42028,KAVM,KAVM-WCN,2159.87,56100,56160,15:35:00,15:36:00
426115,42028,WCN,WCN-TVT,2162.89,56280,56340,15:38:00,15:39:00
426115,42028,TVT,TVT-VOC,2165.39,56520,56580,15:42:00,15:43:00
426115,42028,VOC,VOC-TNP,2167.26,56700,56700,15:45:00,15:45:00
426115,42028,TNP,TNP-KOK,2169.13,56880,56940,15:48:00,15:49:00
426115,42028,KOK,KOK-BBQ,2170.28,57000,57060,15:50:00,15:51:00
426115,42028,BBQ,,2172.28,57240,57300,15:54:00,15:55:00
427085,42045,BBQ,BBQ-KOK,2172.28,84360,84420,23:26:00,23:27:00
427085,42045,KOK,KOK-TNP,2170.28,84600,84660,23:30:00,23:31:00
427085,42045,TNP,TNP-VOC,2169.13,84720,84780,23:32:00,23:33:00
427085,42045,VOC,VOC-TVT,2167.26,84960,84960,23:36:00,23:36:00
427085,42045,TVT,TVT-WCN,2165.39,85140,85200,23:39:00,23:40:00
427085,42045,WCN,WCN-KAVM,2162.89,85380,85440,23:43:00,23:44:00
427085,42045,KAVM,KAVM-ENR,2159.87,85680,85740,23:48:00,23:49:00
427085,42045,ENR,ENR-AIPP,2158.32,86040,86100,23:54:00,23:55:00
427085,42045,AIPP,AIPP-AIP,2154.1,86460,86520,00:01:00,00:02:00
427085,42045,AIP,AIP-NPKM,2152.32,86580,86640,00:03:00,00:04:00
427085,42045,NPKM,NPKM-MJR,2151.04,86700,86760,00:05:00,00:06:00
427085,42045,MJR,MJR-APB,2148.42,86880,86940,00:08:00,00:09:00
427085,42045,APB,APB-PON,2144.41,87120,87180,00:12:00,00:13:00
427085,42045,PON,PON-KVP,2139.72,87420,87480,00:17:00,00:18:00
427085,42045,KVP,KVP-GPD,2133.04,87780,87840,00:23:00,00:24:00
427085,42045,GPD,,2127.13,89700,89700,00:55:00,00:55:00
431819,42004,GPD,GPD-KVP,2127.13,14400,14400,04:00:00,04:00:00
431819,42004,KVP,KVP-PON,2133.04,14760,14820,04:06:00,04:07:00
431819,42004,PON,PON-APB,2139.72,15360,15420,04:16:00,04:17:00
